K,sigma2,alpha,err
3,1.39,2.1039074732349077,0.002192670867364081
3,1.48,2.069197095677032,0.0022758399072515707
3,1.56,2.0419278452251954,0.0023532387070406176
3,1.6,2.0292664712768222,0.002392986448801795
3,1.62,2.023120364490797,0.0024132583895377373
3,1.64,2.0172385644496633,0.0024331007926909013
3,1.65,2.0144302656776536,0.0024426174280192067
3,1.67,2.0090324960440427,0.0024612559613856077
3,1.69,2.0037824683385965,0.002479973251709607
3,1.71,1.9987036816534596,0.0024981525325487412
3,1.73,1.9938028214926062,0.002516033126299282
3,1.76,1.9866773143732332,0.0025428194860670265
3,1.78,1.9820266986140316,0.0025606753572639702
3,1.8,1.977508853072968,0.002578254212132352
10,1.6,2.1687798855279463,0.00035849472377956016
10,1.69,2.111370939766141,0.0003679830543713644
10,1.75,2.076531401545379,0.00037534086704424493
10,1.77,2.065442043508811,0.00037804005594997805
10,1.78,2.059993513579342,0.00037942680453062206
10,1.81,2.0440233513672066,0.00038365475839880294
10,1.83,2.0336866309027513,0.00038656489432332454
10,1.86,2.0186242403368464,0.00039104092145097536
10,1.89,2.004053380354047,0.0003956240333500054
10,1.92,1.9899280305916622,0.0004004319782763773
10,1.94,1.9807580031630672,0.0004036868569868696
10,1.97,1.9673739457349735,0.0004085931513861167
10,2.0,1.9544220755507855,0.00041357830617423506
10,2.03,1.9418701442788882,0.0004186864822092501
10,2.11,1.910236922046147,0.0004324802534601346
10,2.2,1.877553647017576,0.00044845845989854725
500,1.85,2.0726007953148557,0.0001725514744617689
500,1.88,2.0568775067383696,0.00017336817394279091
500,1.91,2.04162757467217,0.00017426695417978265
500,1.93,2.0317137868352195,0.00017491095253728412
500,1.96,2.0172051160487783,0.00017595174796997741
500,1.99,2.003111032174649,0.0001770883818338208
500,2.02,1.989419423381801,0.0001782843142521755
500,2.04,1.9805087952051628,0.0001791049693868115
500,2.07,1.9674546814486624,0.0001803945695056046
